Book,Author,Status
Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,To read
Brave New World and Brave New World Revisited,Aldous Huxley,Have read
The Man from the Future: The Visionary Ideas of John von Neumann,Ananyo Bhattacharya,To read
Project Hail Mary,Andy Weir,Have read
The Martian,Andy Weir,Have read
The Red Circle 1,Anthony Horowitz,Have read
Douglas Adams: The Ends of the Earth,Arvind Ethan David,Have read
The Tao of Pooh,Benjamin Hoff,To read
The Maniac,Benjamín Labatut,To read
A History of Western Philosophy,Bertrand Russell,To read
A Short History of Nearly Everything,Bill Bryson,To read
What Is Intelligence?,Blaise Aguera y Arcas,To read
Upgrade,Blake Crouch,Have read
A Christmas Carol,Charles Dickens,Have read
A Tale of Two Cities,Charles Dickens,To read
Supercommunicators,Charles Duhigg,To read
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,Have read
"Always Remember: The Boy, the Mole, the Fox, the Horse and the Storm",Charlie Mackesy,Have read
How Will You Measure Your Life?,Clayton M. Christensen,To read
Enshittification,Cory Doctorow,To read
Breakneck: China's Quest to Engineer the Future,Dan  Wang,To read
The Girl Who Lived Twice (Millennium #6),David Lagercrantz,Have read
The Girl Who Takes an Eye for an Eye (Millennium #5),David Lagercrantz,Have read
The Girl in the Spider's Web (Millennium #4),David Lagercrantz,Have read
Simple Rules: How to Thrive in a Complex World,Donald Sull,To read
The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy #1),Douglas Adams,To read
Cuts Both Ways (DI Rob Marshall #9),Ed James,Have read
Our Debts to the Past (DI Rob Marshall #8),Ed James,Have read
Fear of Any Kind (DI Rob Marshall #7),Ed James,Have read
His Path of Darkness (DI Rob Marshall #6),Ed James,Have read
With Soul So Dead (DI Rob Marshall #5),Ed James,Have read
A Shadow on the Door (DI Rob Marshall #4),Ed James,Have read
A Lonely Place of Dying (DI Rob Marshall #3),Ed James,Have read
Where the Bodies Lie (DI Rob Marshall #2),Ed James,Have read
The Turning of our Bones (DI Rob Marshall #1),Ed James,Have read
Ready Player One (Ready Player One #1),Ernest Cline,Have read
"The Worlds I See",Fei-Fei Li,To read
Dune (Dune #1),Frank Herbert,Have read
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,To read
Animal Farm,George Orwell,To read
1984,George Orwell,To read
Factfulness,Hans Rosling,To read
Siddhartha,Hermann Hesse,To read
The Courage to Be Disliked,Ichiro Kishimi,To read
Where the Pieces Lie (DCI Logan #19),J.D. Kirk,Have read
Ahead of the Game (DCI Logan Crime Thrillers #10),J.D. Kirk,Have read
A Death Most Monumental (DCI Logan Crime Thrillers #8),J.D. Kirk,Have read
A Snowball's Chance in Hell (DCI Logan Crime Thrillers #9),J.D. Kirk,Have read
The Last Bloody Straw (DCI Logan Crime Thrillers #5),J.D. Kirk,Have read
A Killer of Influence (DCI Logan Crime Thrillers #20),J.D. Kirk,Have read
Here Lie the Dead (DCI Logan Crime Thrillers #15),J.D. Kirk,Have read
Him,J.D. Kirk,Have read
A Dead Man Walking (DCI Logan Crime Thrillers #18),J.D. Kirk,Have read
Come Hell or High Water (DCI Logan Crime Thrillers #13),J.D. Kirk,Have read
The Big Man Upstairs (DCI Logan Crime Thrillers #7),J.D. Kirk,Have read
One For the Ages (DCI Logan Crime Thrillers #16),J.D. Kirk,Have read
City of Scars (DCI Logan Crime Thrillers #14),J.D. Kirk,Have read
A Whisper of Sorrows (DCI Logan Crime Thrillers #6),J.D. Kirk,Have read
An Isolated Incident (DCI Logan Crime Thrillers #11),J.D. Kirk,Have read
Blood and Treachery (DCI Logan Crime Thrillers #4),J.D. Kirk,Have read
Colder than the Grave (DCI Logan Crime Thrillers #12),J.D. Kirk,Have read
The Killing Code (DCI Logan Crime Thrillers #3),J.D. Kirk,Have read
Thicker than Water (DCI Logan Crime Thrillers #2),J.D. Kirk,Have read
A Litter of Bones (DCI Logan Crime Thrillers #1),J.D. Kirk,Have read
A Rock and a Hard Place (DCI Logan Crime Thrillers #21),J.D. Kirk,Have read
The Catcher in the Rye,J.D. Salinger,Have read
Harry Potter Series Box Set (Harry Potter #1-7),J.K. Rowling,Have read
Death at Neist Point (Misty Isle #6),J.M. Dalgliesh,Have read
Genghis Khan and the Making of the Modern World,Jack Weatherford,To read
A Year with Rumi: Daily Readings,Rumi,To read
Pride and Prejudice,Jane Austen,Have read
Biomimicry: Innovation Inspired by Nature,Janine M. Benyus,To read
Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,To read
The Six-Cornered Snowflake,Johannes Kepler,To read
A Citizen's Guide to Artificial Intelligence,John Zerilli,To read
The Keeper of Lost Causes (Department Q #1),Jussi Adler-Olsen,Have read
The Absent One (Department Q #2),Jussi Adler-Olsen,Have read
Flaskepost fra P (Afdeling Q #3),Jussi Adler-Olsen,Reading
Empire of AI: Dreams and Nightmares in Sam Altman's OpenAI,Karen Hao,To read
Bring Up Genius!,László Polgár,To read
Outliers: The Story of Success,Malcolm Gladwell,Have read
Packing for Mars: The Curious Science of Life in the Void,Mary Roach,To read
Humble Pi: A Comedy of Maths Errors,Matt Parker,To read
The Humans,Matt Haig,Have read
The Midnight Library (The Midnight World #1),Matt Haig,Have read
How to Stop Time,Matt Haig,Reading
Reasons to Stay Alive,Matt Haig,Reading
Slow Horses (Slough House #1),Mick Herron,Have read
The Art of Spending Money: Simple Choices for a Richer Life,Morgan Housel,To read
The Psychology of Money,Morgan Housel,Reading
Astrophysics for People in a Hurry,Neil deGrasse Tyson,To read
The Tools of Excellence,Nicholas Bate,Have read
Tigerman,Nick Harkaway,To read
Meditations for Mortals,Oliver Burkeman,Have read
James,Percival Everett,To read
The Wild Robot (The Wild Robot #1),Peter  Brown,To read
Silent Spring,Rachel Carson,To read
Philosophy For Beginners,Rachel Firth,To read
Nature,Ralph Waldo Emerson,To read
How to Hack Back Your Mind: Reclaim Control Over Your Life,Ramzi Najjar,To read
Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,To read
The Hallmarked Man (Cormoran Strike #8),Robert Galbraith,Have read
Obvious Adams: The Story of a Successful Business Man,Robert Rawls Updegraff,Have read
The Daily Dad,Ryan Holiday,To read
The Boy Who Would Be King: A Fable About Marcus Aurelius,Ryan Holiday,To read
"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,To read
Lives of the Stoics,Ryan Holiday,To read
The magician 3,Sarah J. Naughton,Have read
The Irregulars 2,Sarah J. Naughton,Have read
Careless People,Sarah Wynn-Williams,Have read
How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,To read
Odyssey (Stephen Fry's Great Mythology #4),Stephen Fry,Reading
The Girl Who Kicked the Hornet’s Nest (Millennium #3),Stieg Larsson,Have read
The Girl Who Played with Fire (Millennium #2),Stieg Larsson,Have read
The Girl With the Dragon Tattoo (Millennium #1),Stieg Larsson,Have read
The Once and Future King (The Once and Future King #1-5),T.H. White,To read
How Things Work: The Inner Life of Everyday Machines,Theodore Gray,To read
This Is for Everyone: The Unfinished Story of the World Wide Web,Tim Berners-Lee,To read
Benjamin Franklin: An American Life,Walter Isaacson,Have read
Leonardo da Vinci,Walter Isaacson,Have read
Einstein: His Life and Universe,Walter Isaacson,To read
Homo Deus: A History of Tomorrow,Yuval Noah Harari,To read
